"Episode,Timestep,X_Position,Y_Position,Rewards,Cumulative_Rewards,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,X_State,Y_State,Z_State,Y_Heading,Motor1_Pos,Motor2_Pos,Motor3_Pos,Motor4_Pos,Motor5_Pos,Motor6_Pos,Plate1,Plate2,Plate3,Plate4,Plate5,Plate6,Plate7"
"0,0,-0.7137444615364075,-0.11137696355581284,-7137.444615364075,-7137.444615364075,0.5938264223578016,-0.696874786740751,-0.3628779624489844,0.7771000652390487,-0.30871595471017943,0.43019208428985234,0.0,0.0,0.0,0.013883599899406242,0.00877192982456143,0.011695906432748648,-0.011695906432748537,-0.003898635477582846,-0.012670565302144277,0.00877192982456143,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,1,-0.7012594938278198,-0.05951334163546562,7262.294292449951,124.84967708587646,0.016167174638762827,-0.3222834422447409,0.8038916886308813,-0.5581476558625662,0.7297032307450839,0.5528789581689133,-71.37444615364075,8.654199540615082,-11.137696355581284,-0.04997220867105533,0.3576998050682261,-0.42592592592592593,-0.21832358674463936,0.4649122807017543,-0.19200779727095518,0.2485380116959064,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,2,-0.8197115659713745,-0.25613275170326233,-1309.3703985214233,-1184.5207214355469,-0.9337276981787415,-0.3736699693711609,-0.5169587063725682,-0.06885480771135422,-0.8551784407360221,0.08134900864054062,1.2484967708587646,-0.034286826848983765,5.186362192034721,-0.07279726267283272,0.005847953216374213,-0.2115009746588694,0.47270955165691997,-0.3557504873294347,0.43469785575048725,0.3235867446393763,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,3,-0.7342933416366577,-0.07951486110687256,2038.7029647827148,854.182243347168,-0.058493078508161656,0.868917900251307,0.11512396439873696,-0.6679268557659206,0.11707415926776732,-0.46124215568219173,-11.845207214355469,0.10944604873657227,-19.66194100677967,-0.8376679916404981,-0.5653021442495128,-0.22319688109161795,-0.30116959064327486,-0.03508771929824561,-0.5009746588693957,0.05750487329434706,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,4,-0.7577724456787109,-0.20055687427520752,-1088.9732837677002,-234.79104042053223,-0.8452419415695582,0.2729589897015563,-0.8991933226655329,0.45178682792644076,0.5895472397901704,-0.9846755794504412,8.54182243347168,-0.07779598236083984,17.661789059638977,0.18023105378374446,-0.041910331384015564,0.52729044834308,0.0584795321637428,-0.4230019493177388,0.060428849902534054,-0.28167641325536064,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,5,-0.7464367151260376,-0.18422146141529083,348.1483459472656,113.3573055267334,0.3189323208258479,-0.900913510549606,0.8242163497434165,0.013680825017561071,-0.6441487624064319,0.7254049878007516,-2.3479104042053223,0.022661685943603516,-12.104201316833496,-0.6328270031328804,-0.5214424951267056,0.1608187134502923,-0.550682261208577,0.2729044834307992,0.35672514619883033,-0.5964912280701755,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,6,-0.7252325415611267,-0.19130490720272064,98.68443012237549,212.0417356491089,0.06855539407808386,-0.5681414618468452,0.09567754401476125,-0.2949706082885373,0.3443043022547956,-0.582457920260397,1.133573055267334,0.00877082347869873,1.6335412859916687,-0.22783672837073138,0.19005847953216382,-0.5584795321637427,0.48050682261208566,-0.0019493177387914784,-0.39766081871345027,0.4337231968810915,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,7,-0.7543758749961853,-0.09098789095878601,-503.4750699996948,-291.43333435058594,0.6556463670448107,0.7493336094427321,0.024573780032214998,-0.8231209391082257,-0.5606794531742234,0.4228654965652241,2.120417356491089,-0.017214566469192505,-0.708344578742981,-0.27077131716521136,0.04483430799220267,-0.3508771929824561,0.06140350877192979,-0.1842105263157895,0.20370370370370372,-0.3538011695906432,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,8,-0.7515705227851868,-0.21152585744857788,319.4868564605713,28.05352210998535,-0.6125191784084203,0.6108531477041326,-0.5194384216253607,-0.8113758663356769,0.6335638470652352,-0.8292377753679814,-2.9143333435058594,-0.005332380533218384,10.031701624393463,0.4243909324739162,0.39181286549707606,0.4522417153996101,0.0185185185185186,-0.4970760233918129,-0.3391812865497076,0.2514619883040936,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
"0,9,-0.7605084776878357,-0.025262409821152687,-117.43307113647461,-89.37954902648926,-0.8088647708754,0.9989843067640383,0.302138210253301,0.20093241937744977,-0.21627289356412804,-0.7603677241457933,0.2805352210998535,0.014906376600265503,-12.053796648979187,-0.4454884136194442,-0.3791423001949318,0.3664717348927875,-0.31384015594541914,-0.4970760233918129,0.37914230019493167,-0.50682261208577,1.8,0.6,2.7,1.8,0.6,2.7,1.8"
