Episode,Timestep,X_Position,Y_Position,Rewards,Cumulative_Rewards,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,X_State,Y_State,Z_State,Y_Heading,Motor1_Pos,Motor2_Pos,Motor3_Pos,Motor4_Pos,Motor5_Pos,Motor6_Pos,Plate1,Plate2,Plate3,Plate4,Plate5,Plate6,Plate7,Back_to_Back_Duplicate
0,31,-2.643544912338257,-0.2005478590726852,0.978202086833266,32.91252176086086,0.7493596830843683,0.6287744426586164,-0.714547034394603,0.7987663071969637,0.4789220111661119,0.4750881745829625,-264.3544912338257,10.731881111860275,-20.054785907268524,-0.8832340937409897,0.3908382066276803,0.4922027290448343,-0.0692007797270954,-0.5321637426900585,-0.2173489278752436,0.4161793372319688,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,41,-2.518129825592041,-0.1023997664451599,1.0132275022859485,43.04614283049754,0.1707090912303077,-0.975649198032688,-0.3042724819276543,-0.2860754154648632,-0.3340450580159126,0.0465814055104136,-251.8129825592041,10.497840493917463,-10.239976644515991,-0.2459737283403228,0.1306042884990252,0.4093567251461989,0.0380116959064327,0.4122807017543859,-0.0194931773879142,-0.5584795321637427,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,54,-2.560763359069824,-0.2894520461559295,1.0011824867805463,55.93896859979283,-0.1648839390729415,0.5933302012595212,0.3380235226797687,-0.6784474085794474,-0.4811089904590435,-0.9750114628952664,-256.0763359069824,10.538426786661148,-28.94520461559296,-0.1888521762322672,0.3937621832358675,0.1871345029239766,0.0750487329434697,0.327485380116959,0.0984405458089667,0.1042884990253412,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,56,-2.555205821990967,-0.2569410800933838,1.0027444741353726,57.94445754806357,0.5263205760217533,-0.0184437318340904,0.8816229222524683,-0.4646740140651488,0.4894421720473689,-0.3843005813572229,-255.52058219909668,10.561008006334305,-25.69410800933838,-0.7178433983874275,-0.5009746588693957,-0.124756335282651,0.1695906432748537,0.3869395711500973,-0.2222222222222222,0.0253411306042885,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,57,-2.555205821990967,-0.2569410800933838,1.0027444741353726,58.94720202219894,0.9995788213377949,0.5907539300509193,-0.9833202263620078,0.449964932475452,-0.0204028710310026,-0.505205627197606,-255.52058219909668,10.561008006334305,-25.69410800933838,-0.7178433983874275,0.3206627680311891,-0.0253411306042885,0.5204678362573099,-0.2894736842105263,0.2865497076023391,-0.232943469785575,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,58,-2.555205821990967,-0.2569410800933838,1.0027444741353726,59.94994649633431,0.5919552979617884,-0.0881097196730205,-0.8061899957313481,-0.1827353606877313,0.9680021632255996,0.7774709370913362,-255.52058219909668,10.561008006334305,-25.69410800933838,-0.7178433983874275,0.6111111111111112,0.3654970760233917,-0.5779727095516569,0.2865497076023391,-0.0068226120857699,-0.3040935672514619,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,70,-2.5220320224761963,-0.1576376557350158,1.0121190377032567,71.84930356600168,0.18880008990574,-0.0149391149496771,0.4496186477198496,-0.3225558808135591,0.3768643145870991,-0.2597980964244051,-252.20320224761963,10.518771409988403,-15.763765573501589,-0.2907418505805315,0.4551656920077973,0.1267056530214425,-0.5409356725146199,0.2339181286549707,0.2729044834307992,0.3157894736842106,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,71,-2.5220320224761963,-0.1576376557350158,1.0121190377032567,72.86142260370494,0.9447605241951782,0.1239902230431209,-0.712037737927967,-0.1822736805916167,-0.4068021921766871,0.4827289114942339,-252.20320224761963,10.518771409988403,-15.763765573501589,-0.2907418505805315,0.1052631578947369,-0.0224171539961013,0.2641325536062378,-0.2007797270955166,0.2319688109161792,-0.1569200779727095,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,72,-2.5220320224761963,-0.1576376557350158,1.0121190377032567,73.8735416414082,0.8552255098324695,-0.5009085081183828,0.0770646459427208,-0.5559131252522898,0.2507808584819213,0.453546615412796,-252.20320224761963,10.518771409988403,-15.763765573501589,-0.2907418505805315,0.5740740740740742,0.0799220272904484,-0.4210526315789473,-0.0984405458089668,-0.2358674463937622,0.2982456140350877,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,73,-2.5220320224761963,-0.1576376557350158,1.0121190377032567,74.88566067911145,-0.7745239106309061,-0.4865802522492597,0.8136270266905989,-0.1555661504914118,0.849117175955078,0.9484518343608104,-252.20320224761963,10.518771409988403,-15.763765573501589,-0.2907418505805315,0.5233918128654971,-0.3050682261208577,0.0419103313840156,-0.3440545808966861,0.1393762183235867,0.2719298245614034,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
0,102,-2.527179479598999,-0.1866868138313293,1.0106586970637097,103.6655546539605,0.599395410109202,0.1830343471424589,0.0009756034365939,0.1400510965131918,0.4457146718992764,0.5623382023888663,-252.7179479598999,10.508977621793749,-18.66868138313293,-0.1972425394811969,-0.1510721247563352,-0.1306042884990254,0.2855750487329433,-0.4171539961013645,-0.1111111111111111,0.1452241715399609,2.7,2.7,2.7,2.7,2.7,2.7,2.7,True
